,text,start,duration,video_id
0,이번 시간에는 인수 분해 에 대해서 알아보도록 하겠습니다,0.47,10.68,6pQVhPBrfbw
1,자 2인 수분의 는요 우리가 앞서 배웠던 곱셈 공식과 아주 밀접한 관련이,4.64,7.89,6pQVhPBrfbw
2,있습니다,11.15,7.74,6pQVhPBrfbw
3,곱셈 공식 은 언제 필요하냐 하면 요 이 다항식 뜰의 곱을 1 전개하는,12.53,8.94,6pQVhPBrfbw
4,데 필요했던 공식들이 얻죠,18.89,8.879,6pQVhPBrfbw
5,자 그렇다면 당시 게 곳들을 전개한다는 것이 이인수 분의 와 어떤,21.47,9.629,6pQVhPBrfbw
6,관련성이 있는지 같이 한번 살펴보겠습니다,27.769,7.38,6pQVhPBrfbw
7,우리 곱셈 공식 배우면서 이런거 했던 기억이 있을 거에요,31.099,9.901,6pQVhPBrfbw
8,뭐냐면 x - 이라는 다음 식과 x - 이라는 다음 식을 고 파게 되면,35.149,7.41,6pQVhPBrfbw
9,어떻게 된다,41.0,5.07,6pQVhPBrfbw
10,x 제곱 - 3 x 플러스 2 가 된다,42.559,9.18,6pQVhPBrfbw
11,그래서 유 두 다항식의 곱셈 을 하나의 당 식으로 표현할 수 있다,46.07,11.509,6pQVhPBrfbw
12,나는 걸 배웠는데 그때 이쪽에서 일로 이렇게 넘어가는 과정을 우리가,51.739,9.631,6pQVhPBrfbw
13,전개한다 이렇게 표현을 했었습니다,57.579,9.611,6pQVhPBrfbw
14,기억나시죠 자 그렇다면 일쑤 분해 라는 건 뭘 얘기 하냐면 요 예,61.37,12.32,6pQVhPBrfbw
15,이쪽에서 1루 넘어오는 과정을 인수분해 라고 얘기를 합니다,67.19,6.5,6pQVhPBrfbw
16,그래서 이 둘의 차이점은 뭐냐면 전개 나는 것은 두 개 이상의 다항식 을,73.759,10.29,6pQVhPBrfbw
17,곱해서 하나의 다항식 으로 표현하는 거고요,79.85,11.04,6pQVhPBrfbw
18,인수분해 라는 것은 하나의 다항식 을 2개 이상의 다항식 에 곱으로,84.049,10.651,6pQVhPBrfbw
19,표현하는 게 바로 인수분해 해요,90.89,12.0,6pQVhPBrfbw
20,이때 이 당시 x - 1과 x - 이를 요 뭐라고 부르냐 하면 이우 변에,94.7,14.22,6pQVhPBrfbw
21,있는 방식 x 제곱 - 3 x 플러스 e 에 인수 들이다 이렇게 얘기를,102.89,7.049,6pQVhPBrfbw
22,합니다,108.92,7.769,6pQVhPBrfbw
23,따라서 하나의 당시 글 1 인수 들로 분해하여 그것들의 곱으로 표현했다,109.939,10.831,6pQVhPBrfbw
24,라는 의미로 우리가 이름을 인수분해 라고 붙인 거예요,116.689,7.951,6pQVhPBrfbw
25,자 여기까지 말씀을 드리면 학생들이 질문을 합니다,120.77,9.54,6pQVhPBrfbw
26,근데요 선생님 제가 어떤걸 왔냐 하면 예를 들면 파리 라는 숫자를 요 4,124.64,12.09,6pQVhPBrfbw
27,y 의 곱으로 표현한 것도 인수분해 라고 하던데 이것도 맞는건가요,130.31,11.88,6pQVhPBrfbw
28,이렇게 질문을 합니다 자 여러분들 제가 지금 뭐라고 했냐면 하나의 당시,136.73,10.68,6pQVhPBrfbw
29,글 2개 이상의 다항식의 곱으로 표현하는 것이 인수 분해 다 라고 말씀을,142.19,6.269,6pQVhPBrfbw
30,드렸죠,147.41,3.659,6pQVhPBrfbw
31,그러면 다항식 이라는 게 뭐예요,148.459,9.18,6pQVhPBrfbw
32,다항식 은 하나 이상의 다낭 식 뜰의 덧셈 혹은 뺄셈 으로 묶여 진,151.069,9.631,6pQVhPBrfbw
33,시기다 라고 우리가 배웠습니다,157.639,6.991,6pQVhPBrfbw
34,그러면 다낭 식도 다항식의 포함이 되는 거고요,160.7,7.71,6pQVhPBrfbw
35,이 다낭 시계는 상수 항의 라는 것이 있습니다,164.63,9.689,6pQVhPBrfbw
36,상수 왕은 숫자만 존재하는 항의 줘 즉 문자가 곱해 져 있지 않은 것을,168.41,7.62,6pQVhPBrfbw
37,우리가 상상 이라고 불러요,174.319,2.161,6pQVhPBrfbw
38,탈,176.03,5.069,6pQVhPBrfbw
39,상수 항 입니다 그러면 팔도 상수 항의 니까,176.48,10.589,6pQVhPBrfbw
40,다낭 식이고 다낭 시키니까 다항식의 표현이 되요 포함이 되요 그럼 사와,181.099,9.151,6pQVhPBrfbw
41,이도 마찬가지로 우리가 다항식 으로 볼 수가 있겠죠,187.069,9.331,6pQVhPBrfbw
42,따라서 팔을 사와 이에 곱으로 표현하는 것을 우리가 인수분해 한다,190.25,10.14,6pQVhPBrfbw
43,나 고 얘기하는 것도 맞는 얘기다 라는 겁니다,196.4,9.089,6pQVhPBrfbw
44,아마 여러분들 소인수분해 라는 얘기는 많이 들어보셨을 거예요,200.39,10.08,6pQVhPBrfbw
45,이 손수 분해 라는 건 뭐냐면 예를 들면 팔을 4 곱하기 2 로 도,205.489,9.03,6pQVhPBrfbw
46,표현할 수가 있지만 2 곱하기 2 곱하기 2 로 도 표현할 수가 있어요,210.47,7.98,6pQVhPBrfbw
47,그래서 이걸 우리가 이 의 세제곱 이다 이렇게 표현을 합니다,214.519,7.981,6pQVhPBrfbw
48,되죠 그러면 소인수분해 라는건 뭐냐면요,218.45,9.96,6pQVhPBrfbw
49,인수 분해 를 하는데 누구 만 가지고 인수분해 하겠다는 얘기냐 하면 소수,222.5,9.359,6pQVhPBrfbw
50,들만 가지고 인수 분해 를 하겠다는 얘기입니다,228.41,10.199,6pQVhPBrfbw
51,그래서 여기 보면 4 곱하기 위해서 이는 소수지만 사는 소수가 아니거든요,231.859,13.231,6pQVhPBrfbw
52,그래서 앤 예 그래서 이사를 또다시 소수 들에 고 빈 2 곱하기 1호,238.609,11.88,6pQVhPBrfbw
53,인수 구매를 하는 겁니다 그러면 이 파리 라는 것은 파리라는 수는,245.09,9.509,6pQVhPBrfbw
54,이라는 소수 들의 곱으로 만 표현할 수가 있기 때문에,250.489,9.18,6pQVhPBrfbw
55,아 이렇게 소수만 이용해서 인수 분해 하는 것을 우리는 소인수분해 다,254.599,7.38,6pQVhPBrfbw
56,이렇게 부르는 거예요,259.669,8.041,6pQVhPBrfbw
57,자 여기까지 드셨으니까 이제 인수분해 가 뭔지는 아마 대충 감이 잡 썼을,261.979,10.921,6pQVhPBrfbw
58,겁니다 그러면 우리가 다음에 해야 될 것은 그럼 이 인수분해 를 쉽게,267.71,7.86,6pQVhPBrfbw
59,하는 방법은 뭐가 있겠느냐 라는 거예요,272.9,8.73,6pQVhPBrfbw
60,지금부터 그 얘기를 해 드릴께요 자 첫 번째 인수 분해 할 때 우리가,275.57,8.4,6pQVhPBrfbw
61,가장 먼저 해야 될 게 뭐냐면요,281.63,6.3,6pQVhPBrfbw
62,바로 공통 인수로 묶어 낸 겁니다,283.97,10.11,6pQVhPBrfbw
63,그래서 이 첫 번째 제목이 바로 공통 인수로 묶어라 라는 거예요,287.93,8.789,6pQVhPBrfbw
64,자요 예를 하나 들어 드리도록 할게요,294.08,11.129,6pQVhPBrfbw
65,예를 들어 x 제곱 플러스 xy - gx - yg 라는 요러한 당시 글,296.719,14.34,6pQVhPBrfbw
66,인수분해 하여라 나는 문제가 있다라고 한번 생각해 봅시다 자 그러면 여기,305.209,8.28,6pQVhPBrfbw
67,각각의 다낭 들이 보이는데요,311.059,9.301,6pQVhPBrfbw
68,이다 남 들에서 공통인 술을 찾는 거예요 예를 들면 x 제곱 이라는 이,313.489,11.31,6pQVhPBrfbw
69,반항은 x 와 x 의 곱으로 나타낼 수가 있고요,320.36,8.669,6pQVhPBrfbw
70,xy 는 당연히 x 와 y 의 곱으로 나타낼 수가 있습니다,324.799,9.84,6pQVhPBrfbw
71,따라서 이 안에는 x 라는 공통 인수가 들어 있는걸 볼 수가 있죠 그래서,329.029,8.521,6pQVhPBrfbw
72,공통 인수로 묶어라 라고 했으니까,334.639,9.09,6pQVhPBrfbw
73,아 x 로 묶은 다음에 괄호를 열고 x 프라스 yu 이렇게 써 내는,337.55,7.409,6pQVhPBrfbw
74,겁니다,343.729,6.27,6pQVhPBrfbw
75,그저 그러면 요거 전개하면 x 제곱 플러스 x y 가 나오니까 요 두개의,344.959,10.23,6pQVhPBrfbw
76,향해서 공통 인수 x 로 묶어 냈다 라고 볼 수가 있는 거예요,349.999,8.1,6pQVhPBrfbw
77,됐죠 자 그렇다면 얘네들은,355.189,8.28,6pQVhPBrfbw
78,요건 뭐 쓰지 않아도 되겠네요 얘는 지와 x 라는 곱으로 표현이 된거구요,358.099,11.07,6pQVhPBrfbw
79,얘는 y 와 g 라는 곡으로 표현된 거기 때문에 어 이 안에는 공통,363.469,7.26,6pQVhPBrfbw
80,인수가 누가 들어 있는 거죠,369.169,7.05,6pQVhPBrfbw
81,바로 이지 라는 공통 인수가 들어 인 겁니다 그러면 우리는 예 2g 로,370.729,11.131,6pQVhPBrfbw
82,또 묶어 해야 되는데 요 앞에 둘 다 - 가 붙어 있으니까 - g 로,376.219,8.82,6pQVhPBrfbw
83,묶어 낸 다음에 x 플러스 y,381.86,10.049,6pQVhPBrfbw
84,요렇게 써 주시면 되는 겁니다 자 가끔 왜 여기가 - d x psy 로,385.039,9.66,6pQVhPBrfbw
85,묶인 약 5 질문하시는 학생들이 있어요,391.909,6.451,6pQVhPBrfbw
86,그 0 그런 질문을 받으면 도대체 뭐라고 대답을 해야 될까 조금 곤란해,394.699,8.82,6pQVhPBrfbw
87,지는 데 이거 전개에 보시면 됩니다 전개해서 얘랑 똑같은게 나온다면,398.36,6.929,6pQVhPBrfbw
88,제대로 묶은 거에요,403.519,5.97,6pQVhPBrfbw
89,전개 했는데 얘랑 다른게 나온다면 제대로 묶은 게 아닌 거죠,405.289,8.67,6pQVhPBrfbw
90,됐죠 예 어쨌든 여기까지 이렇게 묻고 나면 요,409.489,8.04,6pQVhPBrfbw
91,또 공통 인수가 눈에 보입니다,413.959,9.54,6pQVhPBrfbw
92,누가 공통 있을까요 여기까지 왔더니 많 이 우변 의 요런 공통인 숯 을,417.529,11.43,6pQVhPBrfbw
93,x 프라스 y 와 x 플러스 와 이라는 공통 인수가 또 눈에 보이는 거죠,423.499,11.37,6pQVhPBrfbw
94,그래서 요 x 플러스 와 이를 묶어주면 요 뒤에서 묶어 줘 볼까요,428.959,11.64,6pQVhPBrfbw
95,x - g 가 되고 그 다음에 x 플러스 y 요렇게 묶여 지는 걸 볼,434.869,6.84,6pQVhPBrfbw
96,수가 있습니다,440.599,4.74,6pQVhPBrfbw
97,그리고 전개 해 주시면 요걸 통째로 하나로 보시면 됩니다,441.709,8.16,6pQVhPBrfbw
98,그러면 x 와 애가 곱해 징거 에서 지와 애가 곱해 진 걸 빼면 되는,445.339,5.491,6pQVhPBrfbw
99,거죠,449.869,7.651,6pQVhPBrfbw
100,자 이렇게 하고 보니까 어 하나의 다항식 이 두 다항식의 고부 로만,450.83,8.16,6pQVhPBrfbw
101,표현이 됐습니다,457.52,6.33,6pQVhPBrfbw
102,그렇죠 그러면 인수 분의 끝인 거예요 그래서 요당 12,458.99,9.36,6pQVhPBrfbw
103,요렇게 인수분해 되었다 라고 말할 수가 있는 겁니다,463.85,8.37,6pQVhPBrfbw
104,자 그러면 예를 이런 식으로만 인수분해 할 수 있느냐 그렇지 않아요,468.35,8.51,6pQVhPBrfbw
105,우리가 어떻게 볼 수 있냐면 요거 다 지울게요 이제,472.22,8.75,6pQVhPBrfbw
106,4 조금 다른 다르게 인수 분해를 해 보겠습니다 이거 이렇게 지우시고,476.86,9.96,6pQVhPBrfbw
107,어떻게 볼 거냐면 처음에 공통 인수를 어디 하고 어디에서 찾는 거에요,480.97,9.33,6pQVhPBrfbw
108,바로 여기 있는 x 있죠 요기 x 하나가 틀어 있습니다,486.82,8.22,6pQVhPBrfbw
109,그 다음에 ox 요렇게 보는 거구요 그 다음에 두 번째 공통 인수를,490.3,9.18,6pQVhPBrfbw
110,어떻게 볼 거냐 하면 여기 들어있는 y 와 여기 들어있는 y 로 볼,495.04,5.25,6pQVhPBrfbw
111,겁니다,499.48,6.6,6pQVhPBrfbw
112,이렇게 한번 인수분해 해볼까요 자 그러면 처음에 여기 여기 공통적으로 x,500.29,8.85,6pQVhPBrfbw
113,라는 인수가 들어 있으니까 우리는 x 로 묶어 줍니다,506.08,6.089,6pQVhPBrfbw
114,그러면 x - d 가 되는 걸 볼 수가 있구요,509.14,7.38,6pQVhPBrfbw
115,그 다음에 여기 여기는 y 가 들어 있으니까 플러스 y 로 묶어 주시면,512.169,7.591,6pQVhPBrfbw
116,여기는 x - 쥐가 됩니다,516.52,10.59,6pQVhPBrfbw
117,됐죠 예 그랬더니 x - g 라는 공통 인수가 또 눈에 뛰 더라 라는,519.76,12.0,6pQVhPBrfbw
118,거죠 그래서 여기 보시면 x - t 와 x - c 가 있습니다,527.11,10.4,6pQVhPBrfbw
119,그래서 요거 두 개를 또 묶어주면 요 예 그냥 x 플러스 y 가 되고,531.76,10.86,6pQVhPBrfbw
120,뒤쪽에 x - 지가 곱해 진다 이렇게 보시면 되요,537.51,9.97,6pQVhPBrfbw
121,이때도 x - t 를 통째로 하나로 생각하시고 전개 했을 때 예가,542.62,6.54,6pQVhPBrfbw
122,나오는지 보시면 됩니다,547.48,7.62,6pQVhPBrfbw
123,그래서 x 의 x - 지가 곱해 징계 여기 있고 + y 에 x - 씨가,549.16,7.44,6pQVhPBrfbw
124,곱해 징계 여기 있으니까,555.1,6.66,6pQVhPBrfbw
125,이거 전개 했을 때 이거 나온거 맞죠 됐죠 그러고 나면 예 다항식 뜰의,556.6,8.76,6pQVhPBrfbw
126,곱으로 만 표현이 됐기 때문에 인수 분의 끝입니다,561.76,7.68,6pQVhPBrfbw
127,됐습니까 어 그러면 위에 꺼랑 결과 같은가 볼까요,565.36,9.24,6pQVhPBrfbw
128,예 곱셈 에서는 교환 법칙 2 성립하기 때문에 위에꺼 나 앓았거나 똑같은,569.44,8.7,6pQVhPBrfbw
129,결과라는 걸 알 수가 있습니다,574.6,8.73,6pQVhPBrfbw
130,얘 됐죠 요렇게 하는 것이 인수 분 의 첫 번째 누리 예요,578.14,12.72,6pQVhPBrfbw
131,공통 인수로 묶어라 라는것 아시겠죠 그래서 항상 똑같은 인수 들이 뭐가,583.33,12.67,6pQVhPBrfbw
132,있는지 보시고 걔네 들로 묶어 내는 연습을 하셔야 됩니다,590.86,9.19,6pQVhPBrfbw
133,자 그 다음 두 번째 또 볼 건데요 두번째는 뭐냐면,596.0,9.899,6pQVhPBrfbw
134,이제 인수 분 의 공식 이에요 예를 들면 a 제곱 102 b 제곱 이퀄,600.05,11.039,6pQVhPBrfbw
135,뭐가 되냐 하면 a+ p&a - p 이렇게 됩니다,605.899,9.69,6pQVhPBrfbw
136,어 이거 어디서 많이 보던 거죠 어디서 왔냐 하면 곱셈 공식 에서 봤던,611.089,10.56,6pQVhPBrfbw
137,거에요 그래서 곱셈 공식 에서는 소위 말하는 합 차 공식 이었는데 a+,615.589,10.351,6pQVhPBrfbw
138,b 와 a - b 를 곱하면 아제 고백이 제곱이 되더라,621.649,8.221,6pQVhPBrfbw
139,그래서 a 제곱 빼기 빚에 법이 되더라 이렇게 배웠는데,625.94,10.139,6pQVhPBrfbw
140,아까도 제가 말씀드렸지만 인수분해 라는 것은 전개를 거꾸로 가는 게,629.87,7.86,6pQVhPBrfbw
141,인수분해 줘,636.079,8.7,6pQVhPBrfbw
142,따라서 곱셈 공식의 좌 병과 우변 을 바꿔서 써 주면 그게 바로 인수분해,637.73,8.25,6pQVhPBrfbw
143,공식의 됩니다,644.779,7.56,6pQVhPBrfbw
144,너무 쉽죠 그래서 곱셈 공식을 외우고 있으면 인수 분 의 공식은 그냥,645.98,9.109,6pQVhPBrfbw
145,덤으로 얻어 하시는 겁니다,652.339,6.92,6pQVhPBrfbw
146,알겠습니까 그래서 예를 들어 이 두 번째 꽤 예제를 보면 뭐 이런거,655.089,5.401,6pQVhPBrfbw
147,생각해 볼 수 있어요,659.259,7.981,6pQVhPBrfbw
148,25 x 제곱 - 9i 세고 예를 인수분해 하라 그러면 앞에 거든요,660.49,10.289,6pQVhPBrfbw
149,ox 전체의 제곱으로 볼 수가 있구요,667.24,9.899,6pQVhPBrfbw
150,뒤에 있거든요 - 3 y 의 전체 제곱으로 볼 수가 있어요 이렇게 해놓고,670.779,10.651,6pQVhPBrfbw
151,보니까 예 제고 - 제곱의 형태가 나왔죠,677.139,8.25,6pQVhPBrfbw
152,그럼 위의 인수분해 공식 그대로 사용하시면 됩니다,681.43,9.69,6pQVhPBrfbw
153,자 요거 두 개를 더 한거 곱하기 요거 두개 뺑 거에요 즉 ox 플러스,685.389,7.26,6pQVhPBrfbw
154,3y,691.12,5.189,6pQVhPBrfbw
155,곱하기 그 다음에 ox - 3y,692.649,8.341,6pQVhPBrfbw
156,이렇게 쓸 수 있다는 얘기입니다 그래서 다항식 2개의 곱으로 만 표현이,696.309,9.84,6pQVhPBrfbw
157,됐기 때문에 이 하나의 다음 식을 인수분해 한 게 맞는 거죠,700.99,13.05,6pQVhPBrfbw
158,태초 그래서 이렇게 곱셈 공식을 거꾸로 가는 방법으로 인수 분해를 할 수,706.149,12.06,6pQVhPBrfbw
159,있다 라는 거예요 걸 알고 계시면 인수 분해 를 쉽게 하실 수 가,714.04,5.31,6pQVhPBrfbw
160,있습니다,718.209,6.72,6pQVhPBrfbw
161,이거 이미 곱셈 공식의 서다 왜 원 오신 것들이기 때문에 그렇게 믿습니다,719.35,14.429,6pQVhPBrfbw
162,예 어렵지 않게 인수분해 를 할 수가 있어요 됐죠 자 그 다음 세번째,724.929,14.371,6pQVhPBrfbw
163,제가 여러분들이 자주 보던 곱셈 공식 하나를 요 좌 병과 우변 을 바꿔서,733.779,7.141,6pQVhPBrfbw
164,써 보도록 하겠습니다,739.3,6.0,6pQVhPBrfbw
165,뭐냐면 x 제곱 플러스 a+ px,740.92,11.759,6pQVhPBrfbw
166,플러스 ap 에 요 자 얘는 x 플라스 a 와 x 플러스 b 의 곱으로,745.3,9.539,6pQVhPBrfbw
167,우리가 표현할 수가 있습니다,752.679,7.47,6pQVhPBrfbw
168,그래서 곱셈 공식 에서는 이거 두개를 곱하면 이렇게 1000개가 된다,754.839,10.081,6pQVhPBrfbw
169,라고 공식을 외워서 지만 인수분해 서는 거꾸로 2,760.149,9.391,6pQVhPBrfbw
170,다항식 을 바꿔 쓰면 요렇게 2 다음 식에 곱으로 쓸 수 있다,764.92,9.659,6pQVhPBrfbw
171,요 거죠 요게 바로 인수 분 의 공식이 되는 겁니다 자 그래서 아 그러면,769.54,9.959,6pQVhPBrfbw
172,이번 에서처럼 우리가 쉽게 인수 분해를 할 수 있겠구나 이런 생각들을 할,774.579,10.291,6pQVhPBrfbw
173,수가 있지만 실제로 문제를 만나면 요 꼭 그런건 아니에요,779.499,8.851,6pQVhPBrfbw
174,자 예를 들어서 x 제고 - x - 6,784.87,7.469,6pQVhPBrfbw
175,이 식을 인수분해 하여라 라고 문제가 나왔는데,788.35,8.76,6pQVhPBrfbw
176,자 여기 4a 가 모피가 뭐지 이런 생각을 할 수가 있습니다,792.339,9.75,6pQVhPBrfbw
177,그래서 a 가 뭐 고삐가 뭔지를 찾을 때에는 요 애가 전개되는 과정을,797.11,6.659,6pQVhPBrfbw
178,생각하면서 찾으면 되요,802.089,7.29,6pQVhPBrfbw
179,그게 무슨 얘기냐 하면 우리가 이식을 전개할 때 요렇게 먼저고 팝니다,803.769,8.521,6pQVhPBrfbw
180,그래서 x 와 x 가 고파져서 x,809.379,8.4,6pQVhPBrfbw
181,으 제곱을 만들게 되는 거죠 그 다음에 어떻게 곱한 의하면 이 a 와 x,812.29,10.979,6pQVhPBrfbw
182,를 곱합니다 그래서 여기에서 a 곱하기 x 를 만들어 내는 거에요,817.779,9.93,6pQVhPBrfbw
183,그다음은 뭐 라져 그 다음은 x 와 b 를 고파 게 되는 겁니다,823.269,7.44,6pQVhPBrfbw
184,그래서 b 곱하기 x 를 만들어내고 요,827.709,8.101,6pQVhPBrfbw
